Country,1950,1951,1952,1953,1954,1955, 1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Nepal,,,,,,,335.8,334.3,332.9,330.4,327.1,323.0,318.1,312.6,306.5,300.0,293.1,286.3,279.8,273.6,267.6,261.8,256.2,250.8,245.3,239.8,234.2,228.3,222.2,215.8,209.4,202.9,196.3,189.8,183.2,176.5,169.5,162.3,155.1,147.9,140.7,133.6,126.7,120.0,113.7,107.7,101.8,96.3,90.8,85.6,80.6,75.9,71.5,67.4,63.5,60.0,56.6,53.6,50.7,48.0,45.4,43.1,40.9,39.0,37.4,35.8
Netherlands,31.9,30.4,29.0,27.6,26.3,25.1,24.0,23.1,22.2,21.5,20.8,20.3,19.7,19.3,18.8,18.3,17.9,17.4,16.9,16.4,15.8,15.3,14.7,14.1,13.6,13.1,12.6,12.1,11.6,11.2,10.9,10.6,10.4,10.2,9.9,9.7,9.5,9.2,8.9,8.6,8.3,8.0,7.7,7.4,7.1,6.9,6.7,6.5,6.4,6.3,6.2,6.1,5.9,5.7,5.6,5.4,5.2,5.0,4.8,4.6,4.4,4.3,4.2,4.0,3.9,3.8
New Zealand,35.5,34.8,33.9,33.0,32.1,31.3,30.7,30.1,29.5,28.8,27.9,26.8,25.8,24.7,23.8,23.1,22.5,22.0,21.6,21.2,20.8,20.3,19.9,19.4,18.9,18.3,17.7,17.1,16.6,16.1,15.6,15.2,14.8,14.5,14.2,13.8,13.4,12.9,12.4,11.8,11.2,10.6,10.0,9.5,9.1,8.7,8.4,8.1,7.8,7.6,7.4,7.2,7.0,6.9,6.7,6.6,6.5,6.4,6.4,6.3,6.2,6.1,6.0,5.9,5.8,5.7
Nicaragua,,,,,,211.0,208.4,205.8,203.7,201.5,199.3,197.0,194.8,192.5,190.0,187.6,184.9,182.0,178.8,175.2,171.4,167.2,162.4,157.1,151.1,144.7,137.8,130.5,123.2,116.0,109.1,102.7,96.8,91.5,86.8,82.7,78.9,75.6,72.6,69.7,66.9,64.0,61.2,58.3,55.5,52.7,50.0,47.4,50.3,42.5,40.3,38.3,36.4,34.7,33.2,31.7,30.4,29.2,28.1,27.1,26.1,25.2,24.4,23.5,22.8,22.1
Niger,,,,,,,,,,,,,,,,,,315.1,318.8,322.9,327.0,330.9,334.3,337.0,338.0,337.1,334.6,330.5,326.0,322.0,319.6,319.1,321.0,324.5,328.9,332.9,335.8,336.9,335.7,332.9,328.2,321.9,313.7,303.8,292.2,279.5,267.1,255.9,245.8,236.4,227.3,217.6,207.0,195.7,184.1,172.7,161.8,151.3,141.3,132.1,123.6,116.1,109.6,104.1,99.6,95.5
Nigeria,,,,,,,,,,,,,,,327.5,320.5,313.8,307.0,300.0,292.6,284.9,277.1,268.9,260.4,252.3,244.3,236.8,229.9,223.8,218.6,214.4,211.5,209.6,208.9,208.8,209.5,210.6,211.5,212.2,212.6,212.5,212.2,211.7,211.0,209.7,207.8,205.1,201.4,197.0,192.0,186.8,181.3,175.6,169.9,164.1,158.1,152.2,146.4,140.9,135.5,130.3,125.5,120.9,116.6,112.5,108.8
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,11.8,12.4,13.1,13.8,14.6,15.3,16.1,17.0,17.9,18.8,19.8,20.9,22.0,23.2,24.4,25.6,26.7,27.4,27.8,27.8,27.6,27.3,26.8,26.2,25.6,24.9,24.3,23.6,23.0
Norway,32.8,30.8,29.1,27.7,26.6,25.8,25.2,24.6,23.9,23.2,22.6,22.1,21.5,21.0,20.4,19.7,19.0,18.2,17.5,16.9,16.2,15.6,15.0,14.3,13.6,12.9,12.2,11.5,10.9,10.4,10.1,9.9,9.9,10.0,10.1,10.2,10.3,10.1,9.8,9.3,8.7,7.9,7.2,6.6,6.1,5.7,5.4,5.2,5.1,5.0,4.9,4.7,4.5,4.4,4.2,4.0,3.9,3.7,3.5,3.4,3.2,3.1,3.0,2.8,2.7,2.6
Oman,,,,,,,,,,,,,,325.8,310.4,295.5,281.3,267.5,253.9,240.5,227.6,215.1,202.7,190.8,179.0,167.4,155.8,144.4,133.1,122.2,111.6,101.4,91.6,82.4,73.9,66.1,59.3,53.3,48.1,43.6,39.4,35.7,32.4,29.4,26.8,24.5,22.5,20.8,19.2,17.8,16.6,15.5,14.6,13.8,13.2,12.7,12.3,12.1,11.9,11.7,11.7,11.6,11.6,11.7,11.6,11.6
Pakistan,,388.8,371.5,354.7,338.9,324.1,310.1,296.7,284.4,272.8,261.9,251.6,241.9,232.7,224.3,216.7,209.8,203.8,198.3,193.3,188.8,184.7,181.0,177.7,174.6,172.0,169.6,167.3,165.3,163.4,161.5,159.6,157.7,155.6,153.4,151.1,148.7,146.2,143.6,141.1,138.6,136.0,133.5,131.0,128.3,125.7,123.0,120.3,117.6,114.9,112.3,109.8,107.5,105.3,103.2,101.2,99.3,97.4,95.5,93.7,91.8,89.9,87.8,85.6,83.3,81.1
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,40.8,39.9,39.0,38.0,37.1,36.1,35.2,34.2,33.3,32.3,31.3,30.4,29.4,28.5,27.7,26.8,25.9,25.1,24.4,23.6,22.9,22.1,21.4,20.7,20.1,19.4,18.8,18.2,17.5,17.0,16.4
Panama,,119.1,115.6,112.3,109.0,105.9,103.0,100.1,97.4,94.7,92.1,89.5,86.8,84.2,81.8,79.6,77.4,75.2,72.9,70.5,67.7,64.7,61.6,58.6,55.7,53.3,51.2,49.3,47.7,46.1,44.6,43.0,41.4,39.8,38.2,36.7,35.4,34.1,32.9,31.9,30.9,30.1,29.4,28.9,28.4,28.1,27.7,27.4,27.0,26.5,26.0,25.4,24.8,24.1,23.5,22.9,22.3,21.7,21.0,20.5,19.8,19.2,18.7,18.1,17.6,17.0
Papua New Guinea,,,,,,233.4,226.3,219.4,212.8,206.5,200.2,194.0,188.0,182.1,176.3,170.6,165.0,159.7,154.4,149.3,144.4,139.8,135.4,131.2,127.2,123.5,119.9,116.6,113.6,110.7,108.1,105.6,103.2,101.1,99.0,97.2,95.5,93.9,92.4,90.9,89.4,88.0,86.6,85.3,84.1,83.0,82.0,81.0,80.2,79.3,78.5,77.7,77.0,76.1,75.2,74.2,72.9,71.5,69.7,67.9,66.1,64.3,62.5,60.9,59.1,57.3
Paraguay,,,,,,,89.9,88.7,87.5,86.4,85.3,84.3,83.4,82.7,82.0,81.3,80.6,80.1,79.4,78.7,78.0,77.1,76.1,75.1,73.8,72.5,71.1,69.6,68.0,66.4,64.7,62.9,61.0,59.1,57.2,55.3,53.5,51.7,49.9,48.2,46.5,44.9,43.3,41.9,40.5,39.2,37.9,36.8,35.7,34.6,33.5,32.5,31.5,30.4,29.4,28.4,27.5,26.6,25.7,24.9,24.1,23.3,22.6,21.9,21.2,20.5
Peru,,,306.2,293.0,280.3,268.5,258.4,249.0,241.1,234.0,227.4,220.7,213.8,206.6,199.4,192.3,185.6,179.5,173.9,168.8,163.8,159.0,154.2,149.5,144.9,140.5,136.7,133.3,130.4,127.7,124.9,121.8,118.3,114.1,109.3,104.2,98.8,93.5,88.6,84.0,79.7,75.4,71.0,66.5,62.0,57.5,53.2,49.1,45.3,41.8,38.6,35.8,33.3,31.1,29.1,27.4,25.9,24.5,23.2,22.1,21.0,20.0,19.1,18.3,17.5,16.9
Philippines,,,,141.4,135.4,129.7,124.4,119.3,114.5,110.0,106.0,102.4,99.5,96.8,94.6,92.4,90.4,88.5,86.7,85.2,84.0,83.1,82.6,82.3,82.1,82.1,82.0,81.8,81.5,80.9,80.1,79.3,78.4,77.3,75.9,74.0,71.6,68.6,65.2,61.7,58.2,54.9,52.1,49.5,47.4,45.6,44.0,42.7,41.6,40.6,39.7,38.9,38.1,37.3,36.5,35.7,34.9,34.2,33.4,32.6,31.9,31.2,30.4,29.6,28.8,28.0
Poland,,,,,,,,,84.3,72.8,64.7,59.4,55.6,52.5,49.3,45.9,42.6,40.2,38.8,37.7,36.3,34.5,32.5,30.4,28.7,27.7,27.1,26.4,25.5,24.6,23.9,23.3,22.7,22.0,21.2,20.3,19.5,18.9,18.4,17.9,17.3,16.8,16.4,16.0,15.5,14.5,13.3,12.0,10.8,9.9,9.3,8.8,8.4,8.1,7.8,7.6,7.3,7.0,6.7,6.2,5.8,5.5,5.3,5.2,5.2,5.2
Portugal,,,,,130.5,127.2,124.3,121.8,119.5,117.4,114.6,110.3,104.3,97.6,91.0,85.2,80.8,77.7,75.1,72.0,68.2,63.4,58.0,52.6,47.8,43.5,39.5,35.6,32.3,29.7,27.6,25.8,24.2,22.8,21.6,20.4,19.3,18.2,17.0,15.9,14.7,13.6,12.5,11.4,10.5,9.7,9.1,8.6,8.2,7.7,7.2,6.7,6.1,5.6,5.1,4.7,4.4,4.2,4.1,4.0,3.9,3.8,3.8,3.8,3.7,3.6
Qatar,,,,,,,,,,,,,,,,,,,,70.9,66.2,61.8,57.7,54.0,50.5,47.5,44.7,42.2,40.0,38.0,36.2,34.4,32.8,31.3,29.7,28.2,26.7,25.2,23.7,22.2,20.8,19.5,18.2,17.1,16.1,15.3,14.6,13.9,13.4,12.9,12.4,11.9,11.5,11.1,10.7,10.3,10.0,9.7,9.5,9.2,9.0,8.8,8.6,8.4,8.2,8.0
Republic of Korea,,330.5,279.7,238.6,205.2,179.0,158.4,142.5,130.3,120.7,112.9,106.5,100.8,95.1,89.5,83.8,77.8,71.7,65.4,59.0,52.8,46.8,41.2,35.9,31.2,27.1,23.5,20.4,17.9,15.9,14.3,13.1,12.2,11.4,10.7,10.0,9.3,8.6,8.0,7.5,7.1,6.8,6.4,6.1,5.8,5.5,5.3,5.3,5.5,5.8,6.1,6.4,6.5,6.4,6.0,5.6,5.2,4.8,4.5,4.3,4.1,4.0,3.8,3.7,3.6,3.4
Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,65.0,63.2,61.4,59.6,57.9,56.2,54.6,53.0,51.6,50.3,48.8,47.0,45.1,42.9,40.7,38.5,36.5,34.8,33.6,33.1,33.3,34.2,35.6,37.0,38.1,38.4,37.8,36.3,34.0,31.3,28.3,25.4,23.0,21.1,19.7,18.7,18.1,17.7,17.4,17.2,16.9,16.7,16.4,16.1,15.8
Romania,,,,,,,,,,,,,,,,,,,72.7,69.4,65.6,61.7,58.2,55.2,52.6,50.4,48.5,46.7,45.1,43.5,42.0,40.6,39.4,38.7,38.6,38.9,39.4,39.8,39.8,39.0,37.7,36.4,35.1,34.1,33.2,32.3,31.4,30.4,29.2,28.1,26.9,25.9,24.9,23.7,22.4,20.9,19.2,17.6,16.1,14.9,13.9,13.2,12.5,12.0,11.5,11.1
Russian Federation,,,,,,,,,,,,,,,,,,,,,44.2,42.4,40.7,39.2,37.7,36.6,35.6,34.8,34.2,33.6,33.0,32.5,31.9,31.3,30.7,30.0,29.1,28.1,27.2,26.4,26.0,25.9,26.1,26.3,26.4,26.4,26.0,25.6,25.0,24.2,23.2,22.0,20.7,19.3,18.0,16.7,15.5,14.4,13.5,12.7,12.0,11.4,10.8,10.4,9.9,9.6
Rwanda,,,,,,,246.0,237.7,229.5,222.1,216.0,211.3,207.9,206.0,205.3,205.7,207.1,209.0,211.7,215.0,218.7,222.6,227.0,232.4,238.8,244.9,249.4,250.4,245.2,233.6,218.2,201.6,186.5,174.4,166.0,160.1,155.3,151.6,149.4,149.3,151.8,157.3,165.9,185.4,299.6,268.3,203.3,223.0,234.0,200.6,183.8,170.2,154.7,139.4,124.4,110.7,98.6,87.8,78.3,70.6,64.1,57.7,52.1,47.8,44.3,41.7
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,69.4,67.2,65.1,63.1,61.2,59.6,58.0,56.5,54.9,53.0,50.9,48.5,45.9,43.2,40.5,38.0,35.7,33.5,31.6,29.9,28.4,27.1,25.9,24.8,23.8,22.9,22.0,21.1,20.2,19.4,18.6,17.8,17.1,16.4,15.8,15.2,14.6,14.0,13.5,13.0,12.5,12.1,11.7,11.3,10.9,10.5
Saint Lucia,,,,,,,,,,,,,,,,,,,,,75.5,68.7,62.3,56.5,51.2,46.5,42.6,39.4,37.0,35.1,33.5,32.2,31.0,29.8,28.6,27.3,26.1,24.9,24.0,23.2,22.6,22.1,21.6,21.2,20.6,20.1,19.6,19.0,18.6,18.2,17.8,17.6,17.4,17.3,17.2,17.1,17.0,16.8,16.6,16.3,16.1,15.8,15.4,15.1,14.7,14.3
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,79.5,80.4,81.1,81.4,81.1,80.0,78.0,75.2,71.6,67.4,62.6,57.7,52.6,47.6,42.9,38.6,34.9,31.8,29.3,27.3,25.7,24.5,23.6,23.0,22.6,22.4,22.4,22.4,22.4,22.4,22.3,22.2,22.1,22.0,21.9,21.8,21.8,21.7,21.6,21.4,21.1,20.8,20.3,19.8,19.3,18.8,18.3
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,37.3,35.8,34.5,33.2,32.1,31.0,30.0,29.0,27.9,26.9,25.9,24.9,24.1,23.2,22.4,21.7,21.0,20.4,20.0,19.6,19.3,19.1,18.9,18.8,24.1,18.7,18.6,18.5,18.2,17.9,17.5
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,13.4,12.5,11.7,10.9,10.2,9.5,8.9,8.3,7.8,7.3,6.8,6.3,5.9,5.5,5.2,4.9,4.6,4.4,4.2,4.0,3.9,3.7,3.6,3.5,3.4,3.2,3.1,3.0,2.9
Sao Tome and Principe,,,,,,,,,,,,,,,,97.1,93.9,91.1,88.9,87.5,86.9,87.0,87.6,88.5,89.4,90.1,90.6,91.0,91.2,91.9,92.8,94.1,95.7,97.9,100.1,102.6,104.8,106.9,108.4,109.8,110.7,111.2,111.1,110.2,108.7,106.5,103.7,100.5,97.0,93.2,89.3,85.4,81.5,77.6,73.7,70.1,66.7,63.6,61.0,58.5,56.4,54.4,52.4,50.8,49.0,47.3
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,161.0,150.9,141.9,133.4,125.6,118.0,111.1,104.4,98.0,91.9,86.0,80.3,74.7,69.1,63.7,58.4,53.3,48.6,44.3,40.5,37.1,34.2,31.8,29.7,27.8,26.3,25.0,23.8,22.9,22.0,21.3,20.7,20.1,19.7,19.2,18.7,18.1,17.6,17.0,16.5,16.0,15.5,15.0,14.5
Senegal,346.2,340.8,335.2,329.6,324.0,318.8,314.0,310.1,306.9,304.5,303.3,302.5,302.4,302.3,302.2,301.6,300.4,299.0,297.0,294.4,290.5,285.4,278.9,271.1,262.2,252.4,241.8,231.3,221.6,212.8,205.2,198.6,192.5,186.5,179.9,172.6,164.5,156.6,149.6,144.1,140.4,138.7,138.5,139.3,140.6,142.1,143.2,143.4,142.4,139.7,134.9,128.4,120.7,112.5,104.2,96.2,88.8,82.0,75.8,70.1,64.8,60.0,55.9,52.5,49.7,47.2
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,39.1,37.9,36.2,33.9,31.2,28.4,25.9,24.2,23.1,21.8,19.7,17.4,15.4,13.9,13.1,12.6,12.2,11.6,10.6,9.6,8.9,8.4,8.1,8.0,7.8,7.6,7.3,7.1,6.9,6.8,6.7
Seychelles,118.5,117.4,116.1,114.6,113.0,111.4,109.7,107.9,106.2,104.4,102.6,100.5,98.4,96.1,93.4,90.6,87.5,84.0,80.1,76.1,71.9,67.7,63.4,59.2,54.8,50.4,45.8,41.5,37.4,33.6,30.4,27.6,25.3,23.4,21.8,20.5,19.5,18.6,17.8,17.1,16.5,16.0,15.5,15.1,14.7,14.5,14.3,14.2,14.2,14.2,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.0,13.8,13.6
Sierra Leone,,,,,,,,,,,396.0,390.3,384.7,378.7,372.6,366.2,359.8,353.4,346.6,340.5,334.6,329.0,323.6,318.4,313.4,308.7,304.2,299.8,295.7,291.5,287.6,284.0,280.9,277.9,275.2,272.8,270.5,268.2,266.7,265.2,264.3,263.4,262.6,261.5,259.9,257.5,254.4,250.5,246.0,241.1,235.8,229.9,223.9,217.4,210.8,203.7,196.2,188.0,179.1,169.9,160.2,150.6,141.6,133.4,126.4,120.4
Singapore,,,,,78.1,72.0,66.5,61.5,56.9,52.3,47.8,43.8,40.5,38.2,36.5,35.0,33.6,32.0,30.3,28.7,27.4,26.1,24.3,22.0,19.7,17.6,16.0,15.2,15.1,15.2,14.8,14.1,13.2,12.3,11.6,10.9,10.4,9.8,9.2,8.4,7.7,6.9,6.3,5.8,5.4,5.2,5.0,4.8,4.6,4.3,4.0,3.7,3.4,3.2,3.0,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,24.8,23.8,22.8,21.8,20.9,20.0,19.2,18.4,17.7,16.9,16.3,15.6,15.0,14.4,13.8,13.2,12.7,12.2,11.7,11.3,10.9,10.6,10.2,9.9,9.5,9.2,8.9,8.6,8.4,8.1,7.9,7.7,7.5,7.3
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,17.0,16.1,15.2,14.4,13.5,12.7,11.9,11.1,10.4,9.7,9.1,8.5,7.9,7.4,7.0,6.6,6.2,5.8,5.5,5.2,5.0,4.7,4.5,4.3,4.0,3.8,3.6,3.5,3.3,3.1,3.0,2.8,2.7,2.6
Solomon Islands,,,,,,,,,,,195.9,185.6,175.9,166.7,157.9,149.7,141.4,132.8,124.1,115.6,107.2,99.2,91.9,85.2,79.1,73.5,68.4,63.9,59.9,56.4,53.5,51.1,49.0,47.3,45.8,44.5,43.3,42.3,41.4,40.6,39.7,38.9,37.9,37.0,36.2,35.4,34.8,34.3,33.9,33.5,33.1,32.9,32.8,32.9,33.1,33.2,33.4,33.3,33.1,32.6,32.1,31.4,30.7,29.9,28.9,28.1
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1,187.1,186.0,185.4,184.9,184.1,182.7,180.2,177.2,175.3,174.5,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.3,173.7,171.8,168.5,164.4,160.2,155.3,150.6,146.1,141.2,136.8
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,133.4,126.6,120.0,113.3,106.4,99.6,93.1,87.1,81.9,77.4,73.8,70.7,67.9,65.5,63.3,61.4,59.9,58.8,58.4,58.9,60.1,62.1,64.6,67.4,70.2,72.8,75.3,77.1,78.1,78.1,76.8,75.2,73.1,71.3,68.4,63.5,53.8,49.8,47.7,43.4,41.4,40.5
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.2,294.7,291.3,288.5,284.7,280.4,276.5,271.8,267.3,262.7,257.8,253.2,248.1,242.5,236.6,230.3,223.5,216.1,208.5,200.3,191.4,182.3,173.0,163.8,155.2,147.0,139.3,132.1,125.7,120.0,115.2,110.9,106.7,102.8,99.2,95.6,92.6
Spain,115.5,101.8,91.0,83.1,78.1,74.9,71.9,68.3,64.3,59.9,55.6,51.6,48.2,45.3,42.9,40.8,38.8,36.7,34.4,31.8,29.2,26.6,24.4,23.1,23.0,23.5,23.6,22.8,21.3,19.5,17.8,16.4,15.4,14.7,14.0,13.4,12.8,12.3,11.9,11.5,11.0,10.5,10.1,9.5,8.9,8.3,7.7,7.3,7.0,6.7,6.5,6.3,6.2,6.1,5.9,5.7,5.5,5.2,5.0,4.8,4.6,4.5,4.4,4.3,4.2,4.1
Sri Lanka,,135.3,132.6,129.9,127.0,123.6,119.7,115.4,110.7,105.9,101.1,96.6,92.3,88.4,84.9,81.8,78.9,76.5,74.4,72.6,71.1,69.7,68.5,67.1,65.5,63.6,61.4,58.9,56.1,53.1,49.8,46.2,42.3,38.3,34.2,30.3,26.9,24.2,22.5,21.5,21.2,21.3,21.3,21.1,20.7,20.2,19.5,18.7,17.9,17.0,16.3,15.8,15.4,15.1,28.9,14.0,13.2,12.5,11.8,11.3,10.9,10.6,10.4,10.2,10.0,9.8
State of Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,109.5,102.8,96.6,90.7,85.2,80.0,75.2,70.7,66.5,62.6,58.9,55.5,52.3,49.4,46.7,44.4,42.3,40.4,38.7,37.2,35.7,34.4,33.1,31.9,30.8,29.8,28.9,28.2,27.5,26.9,26.3,25.8,25.2,24.7,24.2,23.8,23.3,22.8,22.3,21.7,21.1
Sudan,,,,202.9,199.4,195.8,192.1,188.5,185.1,181.7,178.4,175.2,172.2,169.3,166.5,164.0,161.7,159.6,157.7,156.0,154.6,153.3,152.1,150.8,149.6,148.3,147.0,145.6,144.3,143.2,142.1,140.9,139.9,138.8,137.5,136.0,134.5,132.8,131.1,129.3,127.5,125.7,123.9,122.1,120.2,118.2,116.1,113.9,111.4,108.8,105.9,103.1,100.2,97.3,94.5,91.9,89.3,87.0,84.7,82.4,80.2,78.2,76.3,74.2,72.2,70.1
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,55.5,54.1,52.7,51.4,50.2,48.9,47.6,46.3,44.9,43.5,42.2,40.9,39.6,38.3,37.0,35.7,34.4,33.3,32.1,31.1,30.1,29.2,28.3,27.4,26.4,25.6,24.9,24.1,23.4,22.6,21.9,21.3
Swaziland,240.1,236.7,233.8,231.3,228.3,225.5,222.9,220.0,217.5,214.6,211.7,209.0,205.8,202.4,198.8,195.0,191.2,187.3,183.5,179.7,175.8,171.3,166.1,160.0,153.6,146.8,140.7,134.6,129.1,124.0,118.7,113.1,107.2,101.1,95.1,89.5,84.4,80.3,77.2,75.2,74.7,75.8,78.8,83.7,89.9,96.9,104.3,111.3,117.7,123.3,128.3,131.6,133.1,133.7,132.7,130.2,122.7,117.2,113.8,104.2,88.4,79.1,72.6,67.6,62.6,60.7
Sweden,27.1,25.7,24.4,23.2,22.3,21.6,21.1,20.6,20.3,19.9,19.6,19.2,18.6,17.9,17.1,16.3,15.5,14.9,14.4,13.9,13.4,12.9,12.3,11.6,10.9,10.3,9.8,9.4,9.0,8.7,8.5,8.2,8.0,7.8,7.7,7.6,7.5,7.4,7.3,7.2,6.9,6.6,6.1,5.7,5.2,4.8,4.5,4.3,4.2,4.1,4.1,4.1,4.0,3.9,3.7,3.6,3.4,3.3,3.2,3.1,3.1,3.0,3.0,3.0,3.0,3.0
Switzerland,38.5,37.2,35.8,34.5,33.1,31.7,30.3,29.0,27.9,27.1,26.5,26.0,25.4,24.6,23.6,22.6,21.6,20.7,19.9,19.2,18.4,17.6,16.7,15.8,14.8,13.8,12.9,12.1,11.4,10.8,10.4,10.0,9.7,9.4,9.2,9.0,8.9,8.8,8.6,8.4,8.2,7.9,7.5,7.1,6.7,6.4,6.1,6.0,5.8,5.7,5.6,5.6,5.5,5.3,5.2,5.1,5.0,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.0,3.9
Syrian Arab Republic,,,,267.7,252.7,238.6,225.1,212.7,201.0,190.1,179.9,170.4,161.6,153.3,145.6,138.2,131.2,124.4,117.7,111.3,105.2,99.6,94.1,89.1,84.3,79.8,75.6,71.6,67.8,64.2,60.8,57.7,54.7,52.0,49.4,47.0,44.8,42.7,40.7,38.9,37.2,35.5,33.9,32.4,30.9,29.5,28.1,26.8,25.6,24.4,23.4,22.3,21.4,20.5,19.6,18.8,18.0,17.3,16.5,15.9,15.3,15.0,16.0,15.3,14.3,12.9
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,152.8,148.2,143.4,139.4,136.0,133.5,131.8,130.8,130.5,130.4,129.9,128.5,126.1,122.6,118.3,113.6,109.9,108.1,108.4,111.2,115.7,119.9,121.4,119.8,116.2,111.3,105.6,99.4,93.0,86.6,80.4,74.6,69.5,65.2,61.5,58.6,56.2,54.3,52.6,50.9,49.3,47.8,46.3,44.8
Thailand,210.0,202.7,195.7,189.0,182.5,176.2,170.2,164.3,158.8,153.3,147.9,142.7,137.7,132.8,128.0,123.3,118.6,113.9,109.2,104.5,99.7,94.9,90.2,85.7,81.4,77.4,73.7,70.1,66.8,63.8,60.9,58.2,55.6,53.1,50.7,48.3,46.0,43.7,41.5,39.2,37.0,35.0,33.1,31.3,29.7,28.3,27.0,25.8,24.6,23.5,22.5,21.5,20.5,19.6,18.7,17.8,17.0,16.3,15.6,15.0,14.5,14.0,13.5,13.1,12.6,12.3
The former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5,55.0,53.0,50.8,49.5,48.8,47.3,43.9,39.7,36.6,35.0,33.5,31.1,27.8,24.6,21.8,19.6,18.1,16.9,16.0,15.2,14.5,14.2,14.0,13.7,13.2,12.5,11.8,11.0,9.9,8.6,7.4,6.6,6.0,5.5
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,201.0,192.1,183.8,175.7,168.2,161.0,153.9,147.0,140.4,134.0,127.8,121.9,116.0,110.2,104.6,99.1,93.7,88.4,83.3,78.5,74.1,70.2,66.7,63.8,61.1,58.7,56.5,54.5,52.6
Togo,324.4,319.1,314.0,309.0,304.1,299.2,294.1,289.2,284.1,279.2,274.2,269.2,264.3,259.4,254.6,249.8,244.9,239.9,234.9,229.8,224.7,219.8,214.7,209.7,204.9,200.2,195.4,190.7,186.3,181.8,177.5,173.4,169.5,165.7,162.3,159.0,156.1,153.3,150.8,148.5,146.2,144.1,142.1,140.0,137.7,135.4,132.7,129.9,127.0,123.9,120.8,117.6,114.4,111.2,108.1,105.1,102.1,99.2,96.4,93.6,90.9,88.3,85.8,83.3,80.8,78.4
Tonga,,,,,,,,,,,,,,81.9,76.5,71.5,66.7,62.2,57.8,53.8,50.2,46.9,44.0,41.5,39.3,37.2,35.3,33.6,32.1,30.7,29.4,28.3,27.4,26.6,26.0,25.4,24.8,24.1,23.4,22.7,21.9,21.1,20.4,19.8,19.3,18.9,18.6,18.4,18.1,17.9,17.6,17.3,17.0,16.8,16.7,16.7,16.7,16.8,17.0,17.2,17.4,17.5,17.5,17.3,17.1,16.7
Trinidad and Tobago,,,,88.3,85.2,82.3,79.4,76.5,73.7,71.0,68.5,66.0,63.7,61.6,59.7,58.0,56.6,55.2,53.9,52.8,51.6,50.6,49.5,48.3,47.2,46.0,44.7,43.4,42.0,40.7,39.5,38.3,37.0,35.9,34.9,34.0,33.1,32.3,31.6,31.0,30.5,30.0,29.7,29.4,29.2,29.0,28.9,28.8,28.8,28.7,28.7,28.6,28.3,28.0,27.5,26.9,26.3,25.6,24.9,24.3,23.6,22.9,22.2,21.5,20.9,20.4
Tunisia,,,,,,,,,,,,,267.8,256.3,244.7,233.5,222.3,211.2,200.6,190.3,180.6,171.1,162.1,153.0,144.1,135.1,126.3,117.7,109.6,102.3,95.7,89.9,84.6,80.0,75.6,71.5,67.9,64.7,61.9,59.3,57.0,54.8,52.5,50.1,47.5,44.9,42.1,39.3,36.5,34.0,31.7,29.6,27.8,26.0,24.5,23.0,21.7,20.5,19.4,18.3,17.4,16.5,15.8,15.2,14.6,14.0
